Tari,C1,C2,C3,C4,C5,C6,C7
Belize,-0.5452691205677478,1.758958594063807,-0.6610638191815402,-0.3982206569302927,0.2651215875087735,-0.14216134042162615,-0.15300806612824033
Benin,1.1079568642798021,0.25700675271137235,1.3387571998552732,-0.3136013767933332,-0.41345707376091606,0.3353241762710739,-1.2444918541521026
Bhutan,0.5561951506407505,-0.9449725946081216,1.2025955622610396,-0.9916308462678445,2.119174572834057,0.17319536806301056,-0.604993949428178
Bolivia,0.1344513453921304,0.5770669013248616,-0.08006036135135067,0.2219637786530457,-0.5360508109629797,0.2347241452593389,-0.8729440802518191
Bosnia and Herzegovina,-0.7980128544028137,0.7430892260872055,-1.7214827921419216,0.7867936248361773,0.34977305227351335,0.07607582181985909,-0.6695887722964395
Botswana,1.6041334446663504,0.8122141471780187,1.8316328888152962,0.2893794063786422,-1.5629599959018565,-2.9491680355593304,1.4991089543816598
Brazil,-0.08309588770135959,0.5047845957315191,-0.4209752676395518,0.4215934766723945,0.37796455234198423,0.7821848704065903,-0.06142460476941727
Brunei Darussalam,-1.137980723286696,-1.490998488891714,-1.499778402347828,-0.96030388827179,-1.3523109928788304,-0.6247353784615615,-0.4704396572207272
Bulgaria,-0.7188337644880678,0.7438204240479154,-0.7759627577417846,-0.6989743988915648,0.04529832288709163,0.5538710697394618,0.4675028836127419
Burkina Faso,1.5521869154134453,0.7160850377517379,0.935976056789075,-2.062841191628302,-0.6577622927874203,0.5275816657234603,-1.6095074459801084
Burundi,1.9864310684092448,0.8288015178450101,-1.552997486451936,0.5314310234008989,1.678602237037498,-0.23578306804265628,-0.6541343155362966
Cambodia,1.1461116342122672,-0.456038469127418,-0.2562317572598216,0.9019854664592681,1.7295802616901759,0.33325900644416495,-0.5093593595864522
Cameroon,1.2898486532418674,0.7723133829915799,-0.44941166292385687,0.32430462748048233,-0.867391345633239,0.06242807583064653,-0.8361705392251761
Canada,-1.1890954166930088,-0.6993660544689099,-0.7884963943539824,1.1030447373186822,-0.49978202072729033,-0.08469869927756843,0.6712517437991635
Cape Verde,0.40379282084970225,-0.15680763939289805,-0.30368832111518723,0.15970740627555474,1.6434994117690924,1.9795168768742286,0.8819922235155142
Central African Republic,1.4256809125538314,1.2985745501071797,-0.4640060258044568,0.9632644573767354,-1.7393722936947966,-0.7858233942118236,-0.9049646529563496
Chad,1.7572675290327333,-0.8166829222419963,0.321470239281587,-0.03980815912939878,0.8298528044730724,-0.0004929205391323653,0.20358697038017357
Chile,-0.5140232719434186,-1.4830454646867273,-0.924255872983854,0.3151799369427874,2.3934990199119484,0.39498515567023784,0.057106789671078746
China,-0.6522349385650654,0.06181544464828652,-0.46217666496733434,1.9120785756644443,-1.4591843532948832,-0.13396967670940724,-0.3302238250978924
Colombia,-0.789600223444218,-1.4318986838084942,-0.7364623135506904,-0.6090503823557465,-1.459982303015116,-1.1263813819892576,0.062397826283388635
Comoros,0.09418839208718334,0.5654433315642808,0.0202062083679651,-0.6251851494124615,-0.3985834672410323,0.43712609964900684,-0.3732254526028883
Congo,1.3113267530528918,-1.2240796925566255,-0.3068556259999082,-0.9672338151052258,0.40070153116703977,-0.07913882152523173,1.2611971883901558
Cook Islands,-1.4034652391936273,-0.7172283391732518,-0.471461696529246,-1.5685701310182496,2.7985232416050936,-3.9268452100264732,-0.830943436531434
Costa Rica,-1.1553477820200506,-0.33480020852831666,-0.1504955757017774,-1.6622466062808885,-0.01796523679754307,-0.05686712507659993,-0.2207052664971584
Cote d'Ivoire,1.4300131934607307,0.3873175142469698,0.5602126805442712,-0.5892647755993262,2.039718865462617,-0.9187958763999255,-1.1334196014527325
Croatia,-1.1583499143124765,0.35079713464543943,1.4547588374763796,0.1894284486403511,-0.07447024787923442,-1.3964996757714776,0.020055107968300418
Cuba,-0.888293440670866,1.0545433274710803,1.477786662432326,1.1045330363114414,0.038966959790638,0.02496764065288252,-0.017981364914545255
Cyprus,-1.2832330094415672,0.8524638952384822,0.763835341747822,0.8884507178018621,-0.2714805551865864,-0.7822920471414558,-0.7611158521343282
Czech Republic,-0.915167445681091,1.08266232061615,-0.33479041671718723,0.46978538220557853,-0.013369557557920074,0.4481891156779123,0.3785651789194405
Democratic People's Republic of Korea,-0.18876302745797605,0.06548897282699617,0.8510348714817005,-0.12673059539624096,-0.6503311705755648,0.2127598748336386,-0.3058784921894621
Democratic Republic of the Congo,1.7044551331793238,-0.650959476470589,-0.02504180934091754,-0.23588851985396933,-1.2648218784266738,-0.5216893482441283,-0.2785116509767894
Denmark,-1.3788550585406876,-1.4408124434944984,-0.02472595014355319,0.5681913675430198,-0.6666298716040294,-1.7423408030639884,0.40804649837757667
Djibouti,1.110151901517303,0.3363274585840911,-0.7506085623699829,1.8219771046489237,-1.4315406226942,0.00039810120998395914,-1.5347184435047947
Dominica,-1.610263182427564,-0.7961129591535323,-1.1745273655042001,-0.1675127988123095,0.9813770184347443,-4.436526179451033,-0.2145097930764156
